Name of State / UT,Total Confirmed cases (Including 49 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,83,1,0,2020-04-01,15.9129,79.74
Andaman and Nicobar Islands,10,0,0,2020-04-01,,
Bihar,23,0,1,2020-04-01,25.0961,85.3131
Chandigarh,13,0,0,2020-04-01,30.7333,76.7794
Chhattisgarh,9,0,0,2020-04-01,21.2787,81.8661
Delhi,120,6,2,2020-04-01,28.7041,77.1025
Goa,5,0,0,2020-04-01,,
Gujarat,74,5,6,2020-04-01,22.2587,71.1924
Haryana,43,21,0,2020-04-01,29.0588,76.0856
Himachal Pradesh,3,0,1,2020-04-01,31.1048,77.1734
Jammu and Kashmir,55,2,2,2020-04-01,33.7782,76.5762
Karnataka,101,8,3,2020-04-01,15.3173,75.7139
Kerala,241,23,2,2020-04-01,10.8505,76.2711
Ladakh,13,3,0,2020-04-01,34.2996,78.2932
Madhya Pradesh,47,0,3,2020-04-01,22.9734,78.6569
Maharashtra,302,39,9,2020-04-01,19.7515,75.7139
Manipur,1,0,0,2020-04-01,24.6637,93.9063
Mizoram,1,0,0,2020-04-01,23.1645,92.9376
Odisha,4,0,0,2020-04-01,20.9517,85.0985
Puducherry,1,0,0,2020-04-01,11.9416,79.8083
Punjab,41,1,3,2020-04-01,31.1471,75.3412
Rajasthan,93,3,0,2020-04-01,27.0238,74.2179
Tamil Nadu,124,4,1,2020-04-01,11.1271,78.6569
Telengana,94,1,3,2020-04-01,18.1124,79.0193
Uttarakhand,7,2,0,2020-04-01,30.0668,79.0193
Uttar Pradesh,103,14,0,2020-04-01,26.8467,80.9462
West Bengal,26,0,2,2020-04-01,22.9868,87.855
