Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,11,10,0,2020-04-16,,
Andhra Pradesh,534,20,14,2020-04-16,15.9129,79.74
Arunachal Pradesh,1,0,0,2020-04-16,,
Assam,33,5,1,2020-04-16,,
Bihar,74,29,1,2020-04-16,25.0961,85.3131
Chandigarh,21,7,0,2020-04-16,30.7333,76.7794
Chhattisgarh,33,17,0,2020-04-16,21.2787,81.8661
Delhi,1578,42,32,2020-04-16,28.7041,77.1025
Goa,7,5,0,2020-04-16,,
Gujarat,871,64,36,2020-04-16,22.2587,71.1924
Haryana,205,43,3,2020-04-16,29.0588,76.0856
Himachal Pradesh,35,16,1,2020-04-16,31.1048,77.1734
Jammu and Kashmir,300,36,4,2020-04-16,33.7782,76.5762
Jharkhand,28,0,2,2020-04-16,,
Karnataka,315,82,13,2020-04-16,15.3173,75.7139
Kerala,388,218,3,2020-04-16,10.8505,76.2711
Ladakh,17,10,0,2020-04-16,34.2996,78.2932
Madhya Pradesh,1120,64,53,2020-04-16,22.9734,78.6569
Maharashtra,2919,295,187,2020-04-16,19.7515,75.7139
Manipur,2,1,0,2020-04-16,24.6637,93.9063
Meghalaya,7,0,1,2020-04-16,,
Mizoram,1,0,0,2020-04-16,23.1645,92.9376
Nagaland#,0,0,0,2020-04-16,,
Odisha,60,18,1,2020-04-16,20.9517,85.0985
Puducherry,7,1,0,2020-04-16,11.9416,79.8083
Punjab,186,27,13,2020-04-16,31.1471,75.3412
Rajasthan,1023,147,3,2020-04-16,27.0238,74.2179
Tamil Nadu,1242,118,14,2020-04-16,11.1271,78.6569
Telengana,698,120,18,2020-04-16,18.1124,79.0193
Tripura,2,1,0,2020-04-16,,
Uttarakhand,37,9,0,2020-04-16,30.0668,79.0193
Uttar Pradesh,773,68,13,2020-04-16,26.8467,80.9462
West Bengal,231,42,7,2020-04-16,22.9868,87.855
12759*,"
1515
","
420
",,2020-04-16,,
,,,,2020-04-16,,
