Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,473,14,9,2020-04-14,15.9129,79.74
Andaman and Nicobar Islands,11,10,0,2020-04-14,,
Arunachal Pradesh,1,0,0,2020-04-14,,
Assam,31,0,1,2020-04-14,,
Bihar,66,26,1,2020-04-14,25.0961,85.3131
Chandigarh,21,7,0,2020-04-14,30.7333,76.7794
Chhattisgarh,31,10,0,2020-04-14,21.2787,81.8661
Delhi,1510,30,28,2020-04-14,28.7041,77.1025
Goa,7,5,0,2020-04-14,,
Gujarat,617,55,26,2020-04-14,22.2587,71.1924
Haryana,199,34,3,2020-04-14,29.0588,76.0856
Himachal Pradesh,32,13,1,2020-04-14,31.1048,77.1734
Jammu and Kashmir,270,16,4,2020-04-14,33.7782,76.5762
Jharkhand,24,0,2,2020-04-14,,
Karnataka,258,65,9,2020-04-14,15.3173,75.7139
Kerala,379,198,3,2020-04-14,10.8505,76.2711
Ladakh,15,10,0,2020-04-14,34.2996,78.2932
Madhya Pradesh,730,51,50,2020-04-14,22.9734,78.6569
Maharashtra,2337,229,160,2020-04-14,19.7515,75.7139
Manipur,2,1,0,2020-04-14,24.6637,93.9063
Meghalaya,1,0,0,2020-04-14,,
Mizoram,1,0,0,2020-04-14,23.1645,92.9376
Nagaland,1,0,0,2020-04-14,,
Odisha,55,18,1,2020-04-14,20.9517,85.0985
Puducherry,7,1,0,2020-04-14,11.9416,79.8083
Punjab,176,14,12,2020-04-14,31.1471,75.3412
Rajasthan,879,133,3,2020-04-14,27.0238,74.2179
Tamil Nadu,1173,58,11,2020-04-14,11.1271,78.6569
Telengana,624,100,17,2020-04-14,18.1124,79.0193
Tripura,2,0,0,2020-04-14,,
Uttarakhand,35,7,0,2020-04-14,30.0668,79.0193
Uttar Pradesh,657,49,5,2020-04-14,26.8467,80.9462
West Bengal,190,36,7,2020-04-14,22.9868,87.855
10815*,"
1190
","
353
",,2020-04-14,,
