Name of State / UT,Total Confirmed cases (Including 71 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,363,7,6,2020-04-10,15.9129,79.74
Andaman and Nicobar Islands,11,0,0,2020-04-10,,
Arunachal Pradesh,1,0,0,2020-04-10,,
Assam,29,0,0,2020-04-10,,
Bihar,60,0,1,2020-04-10,25.0961,85.3131
Chandigarh,18,7,0,2020-04-10,30.7333,76.7794
Chhattisgarh,10,9,0,2020-04-10,21.2787,81.8661
Delhi,898,25,13,2020-04-10,28.7041,77.1025
Goa,7,1,0,2020-04-10,,
Gujarat,241,26,17,2020-04-10,22.2587,71.1924
Haryana,169,29,3,2020-04-10,29.0588,76.0856
Himachal Pradesh,28,6,1,2020-04-10,31.1048,77.1734
Jammu and Kashmir,184,6,4,2020-04-10,33.7782,76.5762
Jharkhand,13,0,1,2020-04-10,,
Karnataka,197,30,6,2020-04-10,15.3173,75.7139
Kerala,357,96,2,2020-04-10,10.8505,76.2711
Ladakh,15,10,0,2020-04-10,34.2996,78.2932
Madhya Pradesh,259,0,16,2020-04-10,22.9734,78.6569
Maharashtra,1364,125,97,2020-04-10,19.7515,75.7139
Manipur,2,1,0,2020-04-10,24.6637,93.9063
Mizoram,1,0,0,2020-04-10,23.1645,92.9376
Odisha,44,2,1,2020-04-10,20.9517,85.0985
Puducherry,5,1,0,2020-04-10,11.9416,79.8083
Punjab,132,5,11,2020-04-10,31.1471,75.3412
Rajasthan,463,21,3,2020-04-10,27.0238,74.2179
Tamil Nadu,834,21,8,2020-04-10,11.1271,78.6569
Telengana,473,35,7,2020-04-10,18.1124,79.0193
Tripura,1,0,0,2020-04-10,,
Uttarakhand,35,5,0,2020-04-10,30.0668,79.0193
Uttar Pradesh,431,32,4,2020-04-10,26.8467,80.9462
West Bengal,116,16,5,2020-04-10,22.9868,87.855
6761*,"
516
","
206
",,2020-04-10,,
