Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,11,0,2020-04-26,,
Andhra Pradesh,1097,231,31,2020-04-26,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-26,,
Assam,36,19,1,2020-04-26,,
Bihar,251,46,2,2020-04-26,25.0961,85.3131
Chandigarh,30,17,0,2020-04-26,30.7333,76.7794
Chhattisgarh,37,32,0,2020-04-26,21.2787,81.8661
Delhi,2625,869,54,2020-04-26,28.7041,77.1025
Goa,7,7,0,2020-04-26,,
Gujarat,3071,282,133,2020-04-26,22.2587,71.1924
Haryana,289,176,3,2020-04-26,29.0588,76.0856
Himachal Pradesh,40,22,1,2020-04-26,31.1048,77.1734
Jammu and Kashmir,494,112,6,2020-04-26,33.7782,76.5762
Jharkhand,67,13,3,2020-04-26,,
Karnataka,501,177,18,2020-04-26,15.3173,75.7139
Kerala,458,338,4,2020-04-26,10.8505,76.2711
Ladakh,20,14,0,2020-04-26,34.2996,78.2932
Madhya Pradesh,2096,210,99,2020-04-26,22.9734,78.6569
Maharashtra,7628,1076,323,2020-04-26,19.7515,75.7139
Manipur,2,2,0,2020-04-26,24.6637,93.9063
Meghalaya,12,0,1,2020-04-26,,
Mizoram,1,0,0,2020-04-26,23.1645,92.9376
Odisha,103,34,1,2020-04-26,20.9517,85.0985
Puducherry,7,3,0,2020-04-26,11.9416,79.8083
Punjab,298,67,17,2020-04-26,31.1471,75.3412
Rajasthan,2083,493,33,2020-04-26,27.0238,74.2179
Tamil Nadu,1821,960,23,2020-04-26,11.1271,78.6569
Telengana,991,280,26,2020-04-26,18.1124,79.0193
Tripura,2,2,0,2020-04-26,,
Uttarakhand,50,26,0,2020-04-26,30.0668,79.0193
Uttar Pradesh,1843,289,29,2020-04-26,26.8467,80.9462
West Bengal,611,105,18,2020-04-26,22.9868,87.855
26917*,"
5914
","
826
",,2020-04-26,,
"*States wise distribution is subject to further verification and reconciliation
",*Our figures are being reconciled with ICMR,,,2020-04-26,,
,,,,2020-04-26,,
