Name of State / UT,Total Confirmed cases (Including 71 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,381,11,6,2020-04-11,15.9129,79.74
Andaman and Nicobar Islands,11,0,0,2020-04-11,,
Arunachal Pradesh,1,0,0,2020-04-11,,
Assam,29,0,1,2020-04-11,,
Bihar,60,0,1,2020-04-11,25.0961,85.3131
Chandigarh,18,7,0,2020-04-11,30.7333,76.7794
Chhattisgarh,18,9,0,2020-04-11,21.2787,81.8661
Delhi,903,25,14,2020-04-11,28.7041,77.1025
Goa,7,1,0,2020-04-11,,
Gujarat,308,31,19,2020-04-11,22.2587,71.1924
Haryana,177,29,3,2020-04-11,29.0588,76.0856
Himachal Pradesh,28,6,1,2020-04-11,31.1048,77.1734
Jammu and Kashmir,207,6,4,2020-04-11,33.7782,76.5762
Jharkhand,17,0,1,2020-04-11,,
Karnataka,214,37,6,2020-04-11,15.3173,75.7139
Kerala,364,123,2,2020-04-11,10.8505,76.2711
Ladakh,15,10,0,2020-04-11,34.2996,78.2932
Madhya Pradesh,443,0,33,2020-04-11,22.9734,78.6569
Maharashtra,1574,188,110,2020-04-11,19.7515,75.7139
Manipur,2,1,0,2020-04-11,24.6637,93.9063
Mizoram,1,0,0,2020-04-11,23.1645,92.9376
Odisha,48,2,1,2020-04-11,20.9517,85.0985
Puducherry,7,1,0,2020-04-11,11.9416,79.8083
Punjab,132,5,11,2020-04-11,31.1471,75.3412
Rajasthan,553,21,3,2020-04-11,27.0238,74.2179
Tamil Nadu,911,44,8,2020-04-11,11.1271,78.6569
Telengana,504,43,9,2020-04-11,18.1124,79.0193
Tripura,2,0,0,2020-04-11,,
Uttarakhand,35,5,0,2020-04-11,30.0668,79.0193
Uttar Pradesh,433,32,4,2020-04-11,26.8467,80.9462
West Bengal,126,16,5,2020-04-11,22.9868,87.855
7529*,"
653
","
242
",,2020-04-11,,
