Name of State / UT,Total Confirmed cases (Including 71 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,348,6,4,2020-04-09,15.9129,79.74
Andaman and Nicobar Islands,11,0,0,2020-04-09,,
Arunachal Pradesh,1,0,0,2020-04-09,,
Assam,28,0,0,2020-04-09,,
Bihar,39,0,1,2020-04-09,25.0961,85.3131
Chandigarh,18,7,0,2020-04-09,30.7333,76.7794
Chhattisgarh,10,9,0,2020-04-09,21.2787,81.8661
Delhi,669,21,9,2020-04-09,28.7041,77.1025
Goa,7,0,0,2020-04-09,,
Gujarat,179,25,16,2020-04-09,22.2587,71.1924
Haryana,169,29,3,2020-04-09,29.0588,76.0856
Himachal Pradesh,18,2,1,2020-04-09,31.1048,77.1734
Jammu and Kashmir,158,4,4,2020-04-09,33.7782,76.5762
Jharkhand,13,0,0,2020-04-09,,
Karnataka,181,28,5,2020-04-09,15.3173,75.7139
Kerala,345,83,2,2020-04-09,10.8505,76.2711
Ladakh,14,10,0,2020-04-09,34.2996,78.2932
Madhya Pradesh,259,0,16,2020-04-09,22.9734,78.6569
Maharashtra,1135,117,72,2020-04-09,19.7515,75.7139
Manipur,2,1,0,2020-04-09,24.6637,93.9063
Mizoram,1,0,0,2020-04-09,23.1645,92.9376
Odisha,42,2,1,2020-04-09,20.9517,85.0985
Puducherry,5,1,0,2020-04-09,11.9416,79.8083
Punjab,101,4,8,2020-04-09,31.1471,75.3412
Rajasthan,383,21,3,2020-04-09,27.0238,74.2179
Tamil Nadu,738,21,8,2020-04-09,11.1271,78.6569
Telengana,442,35,7,2020-04-09,18.1124,79.0193
Tripura,1,0,0,2020-04-09,,
Uttarakhand,35,5,0,2020-04-09,30.0668,79.0193
Uttar Pradesh,410,31,4,2020-04-09,26.8467,80.9462
West Bengal,103,16,5,2020-04-09,22.9868,87.855
5865*,"
478
","
169
",,2020-04-09,,
