Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,86,0,1,1,02-04-2020,15.9129,79.74
Andaman and Nicobar Islands,10,0,0,0,02-04-2020,,
Assam,5,0,0,0,02-04-2020,,
Bihar,24,1,0,1,02-04-2020,25.0961,85.3131
Chandigarh,16,1,0,0,02-04-2020,30.7333,76.7794
Chhattisgarh,9,14,2,0,02-04-2020,21.2787,81.8661
Delhi,219,0,8,4,02-04-2020,28.7041,77.1025
Goa,5,0,0,0,02-04-2020,,
Gujarat,87,8,8,7,02-04-2020,22.2587,71.1924
Haryana,43,4,21,0,02-04-2020,29.0588,76.0856
Himachal Pradesh,3,3,1,1,02-04-2020,31.1048,77.1734
Jammu and Kashmir,62,0,2,2,02-04-2020,33.7782,76.5762
Jharkhand,1,0,0,0,02-04-2020,,
Karnataka,110,0,9,3,02-04-2020,15.3173,75.7139
Kerala,265,0,25,2,02-04-2020,10.8505,76.2711
Ladakh,13,0,3,0,02-04-2020,34.2996,78.2932
Madhya Pradesh,99,2,0,6,02-04-2020,22.9734,78.6569
Maharashtra,335,4,42,13,02-04-2020,19.7515,75.7139
Manipur,1,10,0,0,02-04-2020,24.6637,93.9063
Mizoram,1,0,0,0,02-04-2020,23.1645,92.9376
Odisha,4,0,0,0,02-04-2020,20.9517,85.0985
Puducherry,3,0,1,0,02-04-2020,11.9416,79.8083
Punjab,46,1,1,4,02-04-2020,31.1471,75.3412
Rajasthan,108,1,3,0,02-04-2020,27.0238,74.2179
Tamil Nadu,234,0,6,1,02-04-2020,11.1271,78.6569
Telengana,107,2,1,3,02-04-2020,18.1124,79.0193
Uttarakhand,7,1,2,0,02-04-2020,30.0668,79.0193
Uttar Pradesh,113,0,14,2,02-04-2020,26.8467,80.9462
West Bengal,53,3,6,3,02-04-2020,22.9868,87.855
,,55,,,,,
