Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,11,10,0,2020-04-17,,
Andhra Pradesh,572,36,14,2020-04-17,15.9129,79.74
Arunachal Pradesh,1,0,0,2020-04-17,,
Assam,35,5,1,2020-04-17,,
Bihar,83,37,1,2020-04-17,25.0961,85.3131
Chandigarh,21,9,0,2020-04-17,30.7333,76.7794
Chhattisgarh,36,23,0,2020-04-17,21.2787,81.8661
Delhi,1640,51,38,2020-04-17,28.7041,77.1025
Goa,7,6,0,2020-04-17,,
Gujarat,1021,74,38,2020-04-17,22.2587,71.1924
Haryana,205,43,3,2020-04-17,29.0588,76.0856
Himachal Pradesh,35,16,1,2020-04-17,31.1048,77.1734
Jammu and Kashmir,314,38,4,2020-04-17,33.7782,76.5762
Jharkhand,29,0,2,2020-04-17,,
Karnataka,353,82,13,2020-04-17,15.3173,75.7139
Kerala,395,245,3,2020-04-17,10.8505,76.2711
Ladakh,18,14,0,2020-04-17,34.2996,78.2932
Madhya Pradesh,1308,65,57,2020-04-17,22.9734,78.6569
Maharashtra,3205,300,194,2020-04-17,19.7515,75.7139
Manipur,2,1,0,2020-04-17,24.6637,93.9063
Meghalaya,9,0,1,2020-04-17,,
Mizoram,1,0,0,2020-04-17,23.1645,92.9376
Nagaland#,0,0,0,2020-04-17,,
Odisha,60,19,1,2020-04-17,20.9517,85.0985
Puducherry,7,1,0,2020-04-17,11.9416,79.8083
Punjab,186,27,13,2020-04-17,31.1471,75.3412
Rajasthan,1131,164,11,2020-04-17,27.0238,74.2179
Tamil Nadu,1267,180,15,2020-04-17,11.1271,78.6569
Telengana,743,186,18,2020-04-17,18.1124,79.0193
Tripura,2,1,0,2020-04-17,,
Uttarakhand,37,9,0,2020-04-17,30.0668,79.0193
Uttar Pradesh,846,74,14,2020-04-17,26.8467,80.9462
West Bengal,255,51,10,2020-04-17,22.9868,87.855
13835*,"
1767
","
452
",,2020-04-17,,
,,,,2020-04-17,,
