Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,11,10,0,2020-04-15,,
Andhra Pradesh,503,16,9,2020-04-15,15.9129,79.74
Arunachal Pradesh,1,0,0,2020-04-15,,
Assam,33,0,1,2020-04-15,,
Bihar,70,29,1,2020-04-15,25.0961,85.3131
Chandigarh,21,7,0,2020-04-15,30.7333,76.7794
Chhattisgarh,33,13,0,2020-04-15,21.2787,81.8661
Delhi,1561,30,30,2020-04-15,28.7041,77.1025
Goa,7,5,0,2020-04-15,,
Gujarat,695,59,30,2020-04-15,22.2587,71.1924
Haryana,199,34,3,2020-04-15,29.0588,76.0856
Himachal Pradesh,33,13,1,2020-04-15,31.1048,77.1734
Jammu and Kashmir,278,30,4,2020-04-15,33.7782,76.5762
Jharkhand,27,0,2,2020-04-15,,
Karnataka,277,75,11,2020-04-15,15.3173,75.7139
Kerala,387,211,3,2020-04-15,10.8505,76.2711
Ladakh,17,10,0,2020-04-15,34.2996,78.2932
Madhya Pradesh,987,64,53,2020-04-15,22.9734,78.6569
Maharashtra,2687,259,178,2020-04-15,19.7515,75.7139
Manipur,2,1,0,2020-04-15,24.6637,93.9063
Meghalaya,7,0,1,2020-04-15,,
Mizoram,1,0,0,2020-04-15,23.1645,92.9376
Nagaland#,0,0,0,2020-04-15,,
Odisha,60,18,1,2020-04-15,20.9517,85.0985
Puducherry,7,1,0,2020-04-15,11.9416,79.8083
Punjab,186,14,13,2020-04-15,31.1471,75.3412
Rajasthan,1005,147,3,2020-04-15,27.0238,74.2179
Tamil Nadu,1204,81,12,2020-04-15,11.1271,78.6569
Telengana,647,120,18,2020-04-15,18.1124,79.0193
Tripura,2,0,0,2020-04-15,,
Uttarakhand,37,9,0,2020-04-15,30.0668,79.0193
Uttar Pradesh,735,51,11,2020-04-15,26.8467,80.9462
West Bengal,213,37,7,2020-04-15,22.9868,87.855
11933*,"
1344
","
392
",,2020-04-15,,
,,,,2020-04-15,,
