Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Deaths ( more than 70% cases due to comorbidities ),Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-08,,
Andhra Pradesh,1847,780,38,2020-05-08,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-08,,
Assam,54,34,1,2020-05-08,,
Bihar,550,246,5,2020-05-08,25.0961,85.3131
Chandigarh,135,21,1,2020-05-08,30.7333,76.7794
Chhattisgarh,59,38,0,2020-05-08,21.2787,81.8661
Dadar Nagar Haveli,1,0,0,2020-05-08,,
Delhi,5980,1931,66,2020-05-08,28.7041,77.1025
Goa,7,7,0,2020-05-08,,
Gujarat,7012,1709,425,2020-05-08,22.2587,71.1924
Haryana,625,260,7,2020-05-08,29.0588,76.0856
Himachal Pradesh,46,38,2,2020-05-08,31.1048,77.1734
Jammu and Kashmir,793,335,9,2020-05-08,33.7782,76.5762
Jharkhand,132,41,3,2020-05-08,,
Karnataka,705,366,30,2020-05-08,15.3173,75.7139
Kerala,503,474,4,2020-05-08,10.8505,76.2711
Ladakh,42,17,0,2020-05-08,34.2996,78.2932
Madhya Pradesh,3252,1231,193,2020-05-08,22.9734,78.6569
Maharashtra,17974,3301,694,2020-05-08,19.7515,75.7139
Manipur,2,2,0,2020-05-08,24.6637,93.9063
Meghalaya,12,10,1,2020-05-08,,
Mizoram,1,0,0,2020-05-08,23.1645,92.9376
Odisha,219,62,2,2020-05-08,20.9517,85.0985
Puducherry,9,6,0,2020-05-08,11.9416,79.8083
Punjab,1644,149,28,2020-05-08,31.1471,75.3412
Rajasthan,3427,1596,97,2020-05-08,27.0238,74.2179
Tamil Nadu,5409,1547,37,2020-05-08,11.1271,78.6569
Telengana,1123,650,29,2020-05-08,18.1124,79.0193
Tripura,65,2,0,2020-05-08,,
Uttarakhand,61,39,1,2020-05-08,30.0668,79.0193
Uttar Pradesh,3071,1250,62,2020-05-08,26.8467,80.9462
West Bengal,1548,364,151,2020-05-08,22.9868,87.855
56342*,"
16540
","
1886
",,2020-05-08,,
,,,,2020-05-08,,
