Name of State / UT,Total Confirmed cases (Including 65 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,190,1,1,2020-04-05,15.9129,79.74
Andaman and Nicobar Islands,10,0,0,2020-04-05,,
Arunachal Pradesh,1,0,0,2020-04-05,,
Assam,26,0,0,2020-04-05,,
Bihar,30,0,1,2020-04-05,25.0961,85.3131
Chandigarh,18,0,0,2020-04-05,30.7333,76.7794
Chhattisgarh,9,3,0,2020-04-05,21.2787,81.8661
Delhi,503,18,7,2020-04-05,28.7041,77.1025
Goa,7,0,0,2020-04-05,,
Gujarat,122,18,11,2020-04-05,22.2587,71.1924
Haryana,59,25,1,2020-04-05,29.0588,76.0856
Himachal Pradesh,6,1,1,2020-04-05,31.1048,77.1734
Jammu and Kashmir,106,4,2,2020-04-05,33.7782,76.5762
Jharkhand,3,0,0,2020-04-05,,
Karnataka,144,12,4,2020-04-05,15.3173,75.7139
Kerala,306,49,2,2020-04-05,10.8505,76.2711
Ladakh,14,10,0,2020-04-05,34.2996,78.2932
Madhya Pradesh,165,0,9,2020-04-05,22.9734,78.6569
Maharashtra,490,42,24,2020-04-05,19.7515,75.7139
Manipur,2,0,0,2020-04-05,24.6637,93.9063
Mizoram,1,0,0,2020-04-05,23.1645,92.9376
Odisha,20,0,0,2020-04-05,20.9517,85.0985
Puducherry,5,1,0,2020-04-05,11.9416,79.8083
Punjab,57,1,5,2020-04-05,31.1471,75.3412
Rajasthan,200,21,0,2020-04-05,27.0238,74.2179
Tamil Nadu,485,6,3,2020-04-05,11.1271,78.6569
Telengana,269,32,7,2020-04-05,18.1124,79.0193
Uttarakhand,22,2,0,2020-04-05,30.0668,79.0193
Uttar Pradesh,227,19,2,2020-04-05,26.8467,80.9462
West Bengal,80,10,3,2020-04-05,22.9868,87.855
3577*,"
275
","
83
",,2020-04-05,,
