Name of State / UT,Total Confirmed cases (Including 70 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,266,1,3,2020-04-07,15.9129,79.74
Andaman and Nicobar Islands,10,0,0,2020-04-07,,
Arunachal Pradesh,1,0,0,2020-04-07,,
Assam,26,0,0,2020-04-07,,
Bihar,32,0,1,2020-04-07,25.0961,85.3131
Chandigarh,18,7,0,2020-04-07,30.7333,76.7794
Chhattisgarh,10,9,0,2020-04-07,21.2787,81.8661
Delhi,576,21,7,2020-04-07,28.7041,77.1025
Goa,7,0,0,2020-04-07,,
Gujarat,165,25,13,2020-04-07,22.2587,71.1924
Haryana,90,25,1,2020-04-07,29.0588,76.0856
Himachal Pradesh,13,2,1,2020-04-07,31.1048,77.1734
Jammu and Kashmir,116,4,2,2020-04-07,33.7782,76.5762
Jharkhand,4,0,0,2020-04-07,,
Karnataka,175,25,4,2020-04-07,15.3173,75.7139
Kerala,327,58,2,2020-04-07,10.8505,76.2711
Ladakh,14,10,0,2020-04-07,34.2996,78.2932
Madhya Pradesh,229,0,13,2020-04-07,22.9734,78.6569
Maharashtra,868,56,48,2020-04-07,19.7515,75.7139
Manipur,2,0,0,2020-04-07,24.6637,93.9063
Mizoram,1,0,0,2020-04-07,23.1645,92.9376
Odisha,42,2,1,2020-04-07,20.9517,85.0985
Puducherry,5,1,0,2020-04-07,11.9416,79.8083
Punjab,91,4,7,2020-04-07,31.1471,75.3412
Rajasthan,288,21,3,2020-04-07,27.0238,74.2179
Tamil Nadu,621,8,5,2020-04-07,11.1271,78.6569
Telengana,364,35,7,2020-04-07,18.1124,79.0193
Tripura,1,0,0,2020-04-07,,
Uttarakhand,31,5,0,2020-04-07,30.0668,79.0193
Uttar Pradesh,305,21,3,2020-04-07,26.8467,80.9462
West Bengal,91,13,3,2020-04-07,22.9868,87.855
4789*,"
353
","
124
",,2020-04-07,,
